File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\obj\Debug\App.g.cs	45	_Erstick_Hangman.App.InitializeComponent$$	0	3
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\obj\Debug\App.g.cs	59	_Erstick_Hangman.App.Main$$	0	3
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\obj\Debug\BuscarPartida.g.cs	72	_Erstick_Hangman.BuscarPartida.InitializeComponent$$	0	5
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\BuscarPartida.xaml.cs	37	_Erstick_Hangman.BuscarPartida.Button_Entrar$object.System.Windows.RoutedEventArgs$	0	7
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\BuscarPartida.xaml.cs	64	_Erstick_Hangman.BuscarPartida.Button_Regresar$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\CallbackJuego.cs	19	_Erstick_Hangman.CallbackJuego.RecibirMensajeLobby$string$	0	3
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\CallbackJuego.cs	29	_Erstick_Hangman.CallbackJuego.RecibirMensajeMiembroLobby$bool.string$	0	8
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\CallbackJuego.cs	51	_Erstick_Hangman.CallbackJuego.EntrarJuego$$	0	3
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\CallbackJuego.cs	59	_Erstick_Hangman.CallbackJuego.RecibirMensaje$string$	0	3
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\CallbackJuego.cs	96	_Erstick_Hangman.CallbackJuego.ElegirFicha$string.Erstick_Hangman.ServicioErstick2.Ficha$$$	0	5
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\CallbackJuego.cs	110	_Erstick_Hangman.CallbackJuego.MostrarFichaElegida$Erstick_Hangman.ServicioErstick2.Ficha$	0	3
C:\Users\Acous\OneDrive\Imágenes\Proyecto_Ahorcado\Cliente\Erstick_Hangman\CallbackJuego.cs	119	_Erstick_Hangman.CallbackJuego.MostrarFichaElegida2$Erstick_Hangman.ServicioErstick2.Ficha$	0	3
